date,predLabel,probUp,trueLabel,trueRet
2023-04-19,Up,0.82,Down,-0.008112
2023-04-20,Up,0.82,Down,-0.001223
2023-04-21,Up,0.82,Down,-0.013963
2023-04-24,Up,0.82,Down,-0.022536
2023-04-25,Up,0.82,Up,0.072435
2023-04-26,Up,0.82,Up,0.032028
2023-04-27,Up,0.82,Up,0.007972
2023-04-28,Up,0.82,Down,-0.005533
2023-05-01,Up,0.82,Down,-0.000491
2023-05-02,Up,0.82,Down,-0.003307
2023-05-03,Up,0.82,Up,0.003318
2023-05-04,Up,0.82,Up,0.017157
2023-05-05,Up,0.82,Down,-0.006438
2023-05-08,Up,0.82,Down,-0.005346
2023-05-09,Up,0.82,Up,0.017296
2023-05-10,Up,0.82,Down,-0.007044
2023-05-11,Up,0.82,Down,-0.003676
2023-05-12,Up,0.82,Up,0.001586
2023-05-15,Up,0.82,Up,0.007368
2023-05-16,Up,0.82,Up,0.007250
2023-05-17,Up,0.82,Up,0.014395
2023-05-18,Up,0.82,Down,-0.000565
2023-05-19,Up,0.82,Up,0.008921
2023-05-22,Up,0.82,Down,-0.018432
2023-05-23,Up,0.82,Down,-0.004473
2023-05-24,Up,0.82,Up,0.038458
2023-05-25,Up,0.82,Up,0.021386
2023-05-26,Up,0.82,Down,-0.005047
2023-05-30,Up,0.82,Down,-0.008514
2023-05-31,Up,0.82,Up,0.012759
2023-06-01,Up,0.82,Up,0.008479
2023-06-02,Up,0.82,Up,0.001610
2023-06-05,Up,0.82,Down,-0.006727
2023-06-06,Up,0.82,Down,-0.030868
2023-06-07,Up,0.82,Up,0.005814
2023-06-08,Up,0.82,Up,0.004704
2023-06-09,Up,0.82,Up,0.015484
2023-06-12,Up,0.82,Up,0.007353
2023-06-13,Up,0.82,Up,0.009124
2023-06-14,Up,0.82,Up,0.031897
2023-06-15,Up,0.82,Down,-0.016576
2023-06-16,Up,0.82,Down,-0.012503
2023-06-20,Up,0.82,Down,-0.013282
2023-06-21,Up,0.82,Up,0.018437
2023-06-22,Up,0.82,Down,-0.013806
2023-06-23,Up,0.82,Down,-0.019163
2023-06-26,Up,0.82,Up,0.018168
2023-06-27,Up,0.82,Up,0.003826
2023-06-28,Up,0.82,Down,-0.002382
2023-06-29,Up,0.82,Up,0.016386
2023-06-30,Up,0.82,Down,-0.007488
2023-07-03,Up,0.82,Up,0.000473
2023-07-05,Up,0.82,Up,0.009227
2023-07-06,Up,0.82,Down,-0.011867
2023-07-07,Up,0.82,Down,-0.015984
2023-07-10,Up,0.82,Up,0.001929
2023-07-11,Up,0.82,Up,0.014227
2023-07-12,Up,0.82,Up,0.016192
2023-07-13,Up,0.82,Up,0.007529
2023-07-14,Up,0.82,Up,0.001419
2023-07-17,Up,0.82,Up,0.039800
2023-07-18,Up,0.82,Down,-0.012267
2023-07-19,Up,0.82,Down,-0.023122
2023-07-20,Up,0.82,Down,-0.008937
2023-07-21,Up,0.82,Up,0.003898
2023-07-24,Up,0.82,Up,0.017009
2023-07-25,Up,0.82,Down,-0.037638
2023-07-26,Up,0.82,Down,-0.020872
2023-07-27,Up,0.6214,Up,0.023131
2023-07-28,Up,0.82,Down,-0.007241
2023-07-31,Up,0.82,Up,0.001250
2023-08-01,Up,0.6864,Down,-0.026283
2023-08-02,Up,0.82,Down,-0.002565
2023-08-03,Up,0.82,Up,0.003429
2023-08-04,Up,0.82,Up,0.007108
2023-08-07,Up,0.82,Down,-0.012299
2023-08-08,Up,0.82,Down,-0.011716
2023-08-09,Up,0.82,Up,0.002172
2023-08-10,Up,0.82,Down,-0.005946
2023-08-11,Up,0.82,Up,0.009439
2023-08-14,Up,0.82,Down,-0.006728
2023-08-15,Up,0.82,Down,-0.004536
2023-08-16,Up,0.82,Down,-0.010986
2023-08-17,Up,0.82,Down,-0.001262
2023-08-18,Up,0.82,Up,0.017063
2023-08-21,Up,0.82,Up,0.001802
2023-08-22,Up,0.82,Up,0.014079
2023-08-23,Up,0.82,Down,-0.021498
2023-08-24,Up,0.82,Up,0.009407
2023-08-25,Up,0.82,Up,0.002229
2023-08-28,Up,0.82,Up,0.014550
2023-08-29,Up,0.82,Up,0.001157
2023-08-30,Up,0.82,Down,-0.003133
2023-08-31,Up,0.82,Up,0.002746
2023-09-01,Up,0.82,Up,0.014879
2023-09-05,Up,0.82,Down,-0.002009
2023-09-06,Up,0.82,Down,-0.008922
2023-09-07,Up,0.82,Up,0.013216
2023-09-08,Up,0.82,Up,0.010979
2023-09-11,Up,0.82,Down,-0.018258
2023-09-12,Up,0.82,Up,0.012931
2023-09-13,Up,0.82,Up,0.007856
